ts,ts_iso,mode,baseUrl,count,totalTime_s,totalBytes_B,wifiBytes_B,cellBytes_B,success,fail
1757240707311,2025-09-07T10:25:07.311000Z,WIFI_ONLY,http://139.224.130.188/images,50,9.89,68265283,68265283,0,50,0
1757240715826,2025-09-07T10:25:15.826000Z,WIFI_ONLY,http://139.224.130.188/images,50,8.513,68265283,68265283,0,50,0
1757240722804,2025-09-07T10:25:22.804000Z,WIFI_ONLY,http://139.224.130.188/images,50,6.977,68265283,68265283,0,50,0
1757240729437,2025-09-07T10:25:29.437000Z,WIFI_ONLY,http://139.224.130.188/images,50,6.632,68265283,68265283,0,50,0
1757240902770,2025-09-07T10:28:22.770000Z,WIFI_ONLY,http://139.224.130.188/images,50,173.331,63199723,63199723,0,48,2
1757241700905,2025-09-07T10:41:40.905000Z,WIFI_ONLY,http://139.224.130.188/images,50,6.925,68265283,68265283,0,50,0
1757241707297,2025-09-07T10:41:47.297000Z,WIFI_ONLY,http://139.224.130.188/images,50,6.388,68265283,68265283,0,50,0
1757241714321,2025-09-07T10:41:54.321000Z,WIFI_ONLY,http://139.224.130.188/images,50,7.021,68265283,68265283,0,50,0
1757241721240,2025-09-07T10:42:01.240000Z,WIFI_ONLY,http://139.224.130.188/images,50,6.916,68265283,68265283,0,50,0
1757241728493,2025-09-07T10:42:08.493000Z,WIFI_ONLY,http://139.224.130.188/images,50,7.25,68265283,68265283,0,50,0
1757242153427,2025-09-07T10:49:13.427000Z,WIFI_ONLY,http://139.224.130.188/images,50,5.801,68265283,68265283,0,50,0
1757242163441,2025-09-07T10:49:23.441000Z,WIFI_ONLY,http://139.224.130.188/images,50,10.011,68265283,68265283,0,50,0
1757242173577,2025-09-07T10:49:33.577000Z,WIFI_ONLY,http://139.224.130.188/images,50,10.132,68265283,68265283,0,50,0
1757242183082,2025-09-07T10:49:43.082000Z,WIFI_ONLY,http://139.224.130.188/images,50,9.501,68265283,68265283,0,50,0
1757242192386,2025-09-07T10:49:52.386000Z,WIFI_ONLY,http://139.224.130.188/images,50,9.3,68265283,68265283,0,50,0
1757242732031,2025-09-07T10:58:52.031000Z,WIFI_ONLY,http://139.224.130.188/images,50,8.154,68265283,68265283,0,50,0
1757242740526,2025-09-07T10:59:00.526000Z,WIFI_ONLY,http://139.224.130.188/images,50,8.492,68265283,68265283,0,50,0
1757242751301,2025-09-07T10:59:11.301000Z,WIFI_ONLY,http://139.224.130.188/images,50,10.771,68265283,68265283,0,50,0
1757242761679,2025-09-07T10:59:21.679000Z,WIFI_ONLY,http://139.224.130.188/images,50,10.374,68265283,68265283,0,50,0
1757242770584,2025-09-07T10:59:30.584000Z,WIFI_ONLY,http://139.224.130.188/images,50,8.902,68265283,68265283,0,50,0
1757243190169,2025-09-07T11:06:30.169000Z,WIFI_ONLY,http://139.224.130.188/images,50,16.468,68265283,68265283,0,50,0
1757243265039,2025-09-07T11:07:45.039000Z,WIFI_ONLY,http://139.224.130.188/images,50,74.866,66894857,66894857,0,49,1
1757243283003,2025-09-07T11:08:03.003000Z,WIFI_ONLY,http://139.224.130.188/images,50,17.961,68265283,68265283,0,50,0
1757243298807,2025-09-07T11:08:18.807000Z,WIFI_ONLY,http://139.224.130.188/images,50,15.8,66578371,66578371,0,49,1
1757243316349,2025-09-07T11:08:36.349000Z,WIFI_ONLY,http://139.224.130.188/images,50,17.539,68265283,68265283,0,50,0
